City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
3,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
5,Kalmunai,LK,81.12,overcast clouds,7.4167,81.8167,VS Villa
7,Forestville,US,81.05,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
8,Rikitea,PF,73.62,light rain,-23.1203,-134.9692,People ThankYou
9,Albany,US,83.43,scattered clouds,42.6001,-73.9662,
14,Kavieng,PG,82.6,light rain,-2.5744,150.7967,Nusa Island Retreat
15,Ararangua,BR,63.61,broken clouds,-28.9347,-49.4858,Hotel Mazzuco
16,Puerto Ayora,EC,69.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Isangel,VU,73.22,broken clouds,-19.55,169.2667,Tanna Lodge
19,Port Elizabeth,ZA,84.09,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Bredasdorp,ZA,65.97,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
21,Hobyo,SO,78.19,broken clouds,5.3505,48.5268,Iftin hotel hobyo
26,Kupang,ID,72.91,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
30,Porec,HR,93.18,clear sky,45.2258,13.5939,BO hotel Palazzo
31,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
32,Vagay,RU,66.25,overcast clouds,57.9375,69.0217,
34,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Verkhnyaya Inta,RU,72.43,broken clouds,65.9811,60.3094,
39,Sobolevo,RU,65.61,light rain,54.4299,31.8996,
41,Yumen,CN,78.85,overcast clouds,40.2833,97.2,
42,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
43,Amapa,BR,88.81,few clouds,1.0,-52.0,
44,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
46,Labytnangi,RU,71.83,clear sky,66.6572,66.4183,Priuralye Hotel
47,Todos Santos,MX,88.05,clear sky,23.45,-110.2167,Hotel California Todos Santos
51,Port Alfred,ZA,75.88,clear sky,-33.5906,26.891,The Halyards Hotel
53,Grao Mogol,BR,78.58,few clouds,-16.5594,-42.8897,Pousada do Eti
