,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Port Hedland,-20.3167,118.5667,59.05,67,0,6.91,AU,2022-07-17 14:35:16,clear sky
1,Saldanha,-33.0117,17.9442,68.05,81,0,10.02,ZA,2022-07-17 14:35:17,clear sky
2,Busselton,-33.65,115.3333,53.19,92,100,14.72,AU,2022-07-17 14:35:17,light rain
3,Cape Town,-33.9258,18.4232,64.11,79,0,14.97,ZA,2022-07-17 14:34:28,clear sky
4,Boa Vista,2.8197,-60.6733,87.78,66,20,9.22,BR,2022-07-17 14:35:17,few clouds
5,Kalmunai,7.4167,81.8167,81.12,84,100,7.87,LK,2022-07-17 14:35:18,overcast clouds
6,Prince Rupert,54.3161,-130.3201,53.29,96,100,3.44,CA,2022-07-17 14:33:00,overcast clouds
7,Forestville,38.8451,-76.875,81.05,84,75,3.44,US,2022-07-17 14:35:18,broken clouds
8,Rikitea,-23.1203,-134.9692,73.62,78,100,16.35,PF,2022-07-17 14:33:22,light rain
9,Albany,42.6001,-73.9662,83.43,64,43,2.01,US,2022-07-17 14:31:35,scattered clouds
10,Barrow,71.2906,-156.7887,35.62,87,100,16.11,US,2022-07-17 14:35:19,overcast clouds
11,Turayf,31.6725,38.6637,102.45,16,0,6.91,SA,2022-07-17 14:35:19,clear sky
12,Mataura,-46.1927,168.8643,51.48,75,80,7.83,NZ,2022-07-17 14:35:19,broken clouds
13,Punta Arenas,-53.15,-70.9167,28.51,86,0,14.97,CL,2022-07-17 14:35:20,clear sky
14,Kavieng,-2.5744,150.7967,82.6,77,77,15.77,PG,2022-07-17 14:35:20,light rain
15,Ararangua,-28.9347,-49.4858,63.61,51,81,5.23,BR,2022-07-17 14:35:20,broken clouds
16,Puerto Ayora,-0.7393,-90.3518,69.76,91,63,8.01,EC,2022-07-17 14:35:21,broken clouds
17,Beringovskiy,63.05,179.3167,56.61,81,100,19.33,RU,2022-07-17 14:35:21,light rain
18,Isangel,-19.55,169.2667,73.22,85,67,14.9,VU,2022-07-17 14:35:21,broken clouds
19,Port Elizabeth,-33.918,25.5701,84.09,31,0,5.75,ZA,2022-07-17 14:33:59,clear sky
20,Bredasdorp,-34.5322,20.0403,65.97,62,0,5.48,ZA,2022-07-17 14:35:22,clear sky
21,Hobyo,5.3505,48.5268,78.19,74,61,31.7,SO,2022-07-17 14:35:22,broken clouds
22,Karasburg,-28.0167,18.75,72.57,18,4,14.03,NA,2022-07-17 14:35:22,clear sky
23,Deputatskiy,69.3,139.9,40.53,79,91,1.74,RU,2022-07-17 14:35:23,overcast clouds
24,Ushuaia,-54.8,-68.3,31.87,91,100,10.0,AR,2022-07-17 14:35:23,overcast clouds
25,Fort Nelson,58.8053,-122.7002,56.79,88,75,2.3,CA,2022-07-17 14:35:23,broken clouds
26,Kupang,-10.1667,123.5833,72.91,78,0,9.57,ID,2022-07-17 14:35:24,clear sky
27,Aklavik,68.2191,-135.0107,51.8,100,100,3.44,CA,2022-07-17 14:35:24,fog
28,Vardo,70.3705,31.1107,57.18,77,72,8.05,NO,2022-07-17 14:35:03,broken clouds
29,Kaitangata,-46.2817,169.8464,43.23,87,98,4.76,NZ,2022-07-17 14:35:25,overcast clouds
30,Porec,45.2258,13.5939,93.18,52,0,6.04,HR,2022-07-17 14:35:25,clear sky
31,Vaini,-21.2,-175.2,73.56,88,20,6.91,TO,2022-07-17 14:35:25,few clouds
32,Vagay,57.9375,69.0217,66.25,62,98,3.67,RU,2022-07-17 14:35:26,overcast clouds
33,New Norfolk,-42.7826,147.0587,36.91,81,89,3.0,AU,2022-07-17 14:35:26,light snow
34,Hilo,19.7297,-155.09,82.27,97,100,8.05,US,2022-07-17 14:35:26,overcast clouds
35,Upernavik,72.7868,-56.1549,41.38,86,88,13.15,GL,2022-07-17 14:35:27,overcast clouds
36,Qaanaaq,77.484,-69.3632,46.11,56,54,5.59,GL,2022-07-17 14:35:27,broken clouds
37,Hobart,-42.8794,147.3294,37.26,87,40,17.27,AU,2022-07-17 14:35:27,scattered clouds
38,Verkhnyaya Inta,65.9811,60.3094,72.43,63,64,9.66,RU,2022-07-17 14:35:28,broken clouds
39,Sobolevo,54.4299,31.8996,65.61,66,95,3.65,RU,2022-07-17 14:35:28,light rain
40,Yulara,-25.2406,130.9889,54.82,19,23,6.6,AU,2022-07-17 14:35:28,few clouds
41,Yumen,40.2833,97.2,78.85,33,96,8.52,CN,2022-07-17 14:35:29,overcast clouds
42,Nouadhibou,20.931,-17.0347,76.98,69,6,28.77,MR,2022-07-17 14:35:29,sand
43,Amapa,1.0,-52.0,88.81,51,12,4.45,BR,2022-07-17 14:35:29,few clouds
44,Naze,28.3667,129.4833,79.72,83,100,13.58,JP,2022-07-17 14:35:30,overcast clouds
45,Bluff,-46.6,168.3333,51.8,61,85,22.24,NZ,2022-07-17 14:35:30,overcast clouds
46,Labytnangi,66.6572,66.4183,71.83,47,10,2.44,RU,2022-07-17 14:32:19,clear sky
47,Todos Santos,23.45,-110.2167,88.05,92,8,3.74,MX,2022-07-17 14:36:30,clear sky
48,Cherskiy,68.75,161.3,32.5,71,45,10.22,RU,2022-07-17 14:33:13,scattered clouds
49,Nelson Bay,-32.7167,152.15,59.0,77,0,4.0,AU,2022-07-17 14:36:31,clear sky
50,Ancud,-41.8697,-73.8203,44.22,80,42,14.67,CL,2022-07-17 14:33:41,light rain
51,Port Alfred,-33.5906,26.891,75.88,35,4,8.21,ZA,2022-07-17 14:35:47,clear sky
52,Rio Grande,-32.035,-52.0986,53.71,66,5,16.53,BR,2022-07-17 14:36:31,clear sky
53,Grao Mogol,-16.5594,-42.8897,78.58,32,17,8.25,BR,2022-07-17 14:36:32,few clouds
54,Rawson,-43.3002,-65.1023,47.14,48,100,18.54,AR,2022-07-17 14:36:32,overcast clouds
55,Narsaq,60.9167,-46.05,53.82,64,7,7.87,GL,2022-07-17 14:36:14,clear sky
56,Matamoros,25.5333,-103.25,78.91,41,20,12.66,MX,2022-07-17 14:32:08,few clouds
57,Torbay,47.6666,-52.7314,74.88,59,40,14.97,CA,2022-07-17 14:33:43,scattered clouds
58,Jamestown,42.097,-79.2353,78.51,76,75,9.22,US,2022-07-17 14:31:59,broken clouds
59,Tomatlan,19.9333,-105.25,77.07,88,98,2.66,MX,2022-07-17 14:36:33,overcast clouds
60,Kaeo,-35.1,173.7833,47.32,94,82,4.0,NZ,2022-07-17 14:36:33,broken clouds
61,Atuona,-9.8,-139.0333,77.83,76,23,20.45,PF,2022-07-17 14:36:33,few clouds
62,Carnarvon,-24.8667,113.6333,67.86,80,9,11.36,AU,2022-07-17 14:36:34,clear sky
63,Touros,-5.1989,-35.4608,82.96,67,58,17.52,BR,2022-07-17 14:33:26,broken clouds
64,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,85.8,74,0,8.05,BR,2022-07-17 14:34:24,clear sky
65,Dubbo,-32.25,148.6167,53.73,50,100,12.66,AU,2022-07-17 14:36:34,overcast clouds
66,Ballina,-28.8667,153.5667,59.77,71,53,10.36,AU,2022-07-17 14:36:35,broken clouds
67,Mahebourg,-20.4081,57.7,69.26,88,75,17.27,MU,2022-07-17 14:34:55,broken clouds
68,Arica,-18.475,-70.3042,59.23,67,100,3.44,CL,2022-07-17 14:36:35,overcast clouds
69,Jieshi,22.8134,115.8257,83.57,87,100,14.14,CN,2022-07-17 14:36:35,overcast clouds
70,Mar Del Plata,-38.0023,-57.5575,54.09,52,0,16.11,AR,2022-07-17 14:36:36,clear sky
71,Moindou,-21.6924,165.677,66.43,78,14,4.61,NC,2022-07-17 14:34:19,few clouds
72,Tutoia,-2.7619,-42.2744,86.86,56,5,7.61,BR,2022-07-17 14:36:36,clear sky
73,Kenai,60.5544,-151.2583,54.14,98,100,6.91,US,2022-07-17 14:36:36,moderate rain
74,Mount Gambier,-37.8333,140.7667,46.24,76,96,10.11,AU,2022-07-17 14:34:16,overcast clouds
75,Cidreira,-30.1811,-50.2056,56.26,64,2,16.75,BR,2022-07-17 14:36:37,clear sky
76,Ilulissat,69.2167,-51.1,51.82,54,20,5.75,GL,2022-07-17 14:36:37,few clouds
77,Novyy Urengoy,66.0833,76.6333,67.87,42,100,14.34,RU,2022-07-17 14:36:37,overcast clouds
78,Andenes,69.3143,16.1194,52.93,82,75,5.75,NO,2022-07-17 14:36:38,light rain
79,Vilhena,-12.7406,-60.1458,82.62,57,20,8.05,BR,2022-07-17 14:35:16,few clouds
80,Kungurtug,50.5994,97.5228,56.46,61,45,2.39,RU,2022-07-17 14:36:38,scattered clouds
81,Korem,12.5058,39.5228,66.45,53,100,1.97,ET,2022-07-17 14:36:39,overcast clouds
82,Mohgaon,21.65,78.7167,77.45,89,100,7.94,IN,2022-07-17 14:36:39,heavy intensity rain
83,Tuktoyaktuk,69.4541,-133.0374,53.6,94,100,4.61,CA,2022-07-17 14:33:57,overcast clouds
84,Vila Franca Do Campo,37.7167,-25.4333,70.21,68,55,6.51,PT,2022-07-17 14:33:19,broken clouds
85,Brooks,50.5834,-111.8851,69.04,77,29,9.22,CA,2022-07-17 14:36:39,scattered clouds
86,Bubaque,11.2833,-15.8333,81.3,82,90,10.65,GW,2022-07-17 14:36:40,overcast clouds
87,Najran,17.4924,44.1277,101.05,15,78,12.41,SA,2022-07-17 14:32:51,broken clouds
88,Kapaa,22.0752,-159.319,80.58,81,75,17.27,US,2022-07-17 14:36:40,broken clouds
89,Hambantota,6.1241,81.1185,84.54,84,20,5.75,LK,2022-07-17 14:36:40,few clouds
90,Atambua,-9.1061,124.8925,68.14,85,23,5.12,ID,2022-07-17 14:36:41,few clouds
91,Hermanus,-34.4187,19.2345,63.7,71,0,17.83,ZA,2022-07-17 14:36:41,clear sky
92,Khatanga,71.9667,102.5,59.74,61,100,7.49,RU,2022-07-17 14:33:49,overcast clouds
93,Saskylakh,71.9167,114.0833,51.67,61,81,8.03,RU,2022-07-17 14:36:41,broken clouds
94,Thompson,55.7435,-97.8558,66.36,88,40,5.75,CA,2022-07-17 14:36:42,smoke
95,Cururupu,-1.8283,-44.8683,89.1,50,45,6.06,BR,2022-07-17 14:37:42,scattered clouds
96,Alytus,54.4,24.05,63.68,67,71,9.86,LT,2022-07-17 14:37:42,broken clouds
97,Onega,63.9061,38.1404,65.86,59,100,5.39,RU,2022-07-17 14:37:43,overcast clouds
98,Kodiak,57.79,-152.4072,56.71,72,75,9.22,US,2022-07-17 14:34:17,broken clouds
99,Faya,18.3851,42.4509,80.71,28,80,8.34,SA,2022-07-17 14:37:43,broken clouds
100,Show Low,34.2542,-110.0298,78.01,43,0,0.0,US,2022-07-17 14:37:43,clear sky
101,Cabo San Lucas,22.8909,-109.9124,81.61,63,10,5.01,MX,2022-07-17 14:36:30,clear sky
102,Maceio,-9.6658,-35.7353,81.84,61,75,13.8,BR,2022-07-17 14:37:44,broken clouds
103,Codrington,-38.2667,141.9667,47.77,69,92,17.72,AU,2022-07-17 14:37:44,overcast clouds
104,East London,-33.0153,27.9116,86.94,17,0,5.75,ZA,2022-07-17 14:34:45,clear sky
105,Viedma,-40.8135,-62.9967,51.85,40,29,29.21,AR,2022-07-17 14:37:45,scattered clouds
106,Arraial Do Cabo,-22.9661,-42.0278,82.36,54,0,9.22,BR,2022-07-17 14:36:52,clear sky
107,Bambous Virieux,-20.3428,57.7575,69.22,88,75,17.27,MU,2022-07-17 14:37:45,light rain
108,Yellowknife,62.456,-114.3525,59.56,94,75,16.11,CA,2022-07-17 14:37:46,broken clouds
109,Santa Barbara,34.7333,-120.0343,78.35,88,0,0.0,US,2022-07-17 14:35:59,clear sky
110,Batagay-Alyta,67.8006,130.4114,48.92,82,100,0.29,RU,2022-07-17 14:37:46,overcast clouds
111,Dudinka,69.4058,86.1778,63.63,63,100,4.63,RU,2022-07-17 14:37:46,overcast clouds
112,Georgetown,5.4112,100.3354,85.95,84,20,2.3,MY,2022-07-17 14:35:19,few clouds
113,Praia,14.9215,-23.5087,86.54,54,20,6.91,CV,2022-07-17 14:37:47,few clouds
114,Bermeo,43.4209,-2.7215,107.8,50,0,13.13,ES,2022-07-17 14:37:47,clear sky
115,Pedreiras,-4.5688,-44.6003,90.91,38,71,4.92,BR,2022-07-17 14:37:47,broken clouds
116,Ribeira Grande,38.5167,-28.7,79.2,65,40,6.91,PT,2022-07-17 14:35:23,scattered clouds
117,Sabya,17.1495,42.6254,92.82,34,48,20.42,SA,2022-07-17 14:37:48,scattered clouds
118,Nikolskoye,59.7035,30.7861,64.87,78,96,9.28,RU,2022-07-17 14:37:48,overcast clouds
119,Avarua,-21.2078,-159.775,71.65,73,100,6.91,CK,2022-07-17 14:36:32,overcast clouds
120,Fuxin,42.0156,121.6589,70.23,75,11,2.84,CN,2022-07-17 14:37:49,few clouds
121,Esperance,-33.8667,121.9,55.02,75,99,15.17,AU,2022-07-17 14:37:49,light rain
122,Barabai,-2.5833,115.3833,71.8,95,100,1.68,ID,2022-07-17 14:34:54,overcast clouds
123,Hithadhoo,-0.6,73.0833,78.37,87,100,24.2,MV,2022-07-17 14:35:45,overcast clouds
124,Labuan,5.2767,115.2417,77.36,94,20,0.0,MY,2022-07-17 14:37:50,light rain
125,Faanui,-16.4833,-151.75,75.99,74,69,18.23,PF,2022-07-17 14:37:50,light rain
126,Saint Anthony,45.0205,-93.218,81.77,74,0,3.44,US,2022-07-17 14:37:50,clear sky
127,Kununurra,-15.7667,128.7333,55.38,76,10,0.0,AU,2022-07-17 14:37:51,clear sky
128,Klaksvik,62.2266,-6.589,52.72,86,74,23.49,FO,2022-07-17 14:37:51,broken clouds
129,Slave Lake,55.2834,-114.769,62.58,77,0,0.0,CA,2022-07-17 14:35:45,clear sky
130,Sosnogorsk,63.6023,53.8817,77.04,38,2,2.21,RU,2022-07-17 14:37:51,clear sky
131,Kailua,21.4022,-157.7394,78.78,85,100,13.8,US,2022-07-17 14:33:20,overcast clouds
132,Arrifes,37.7667,-25.7,68.25,88,75,12.66,PT,2022-07-17 14:37:52,broken clouds
133,Bonfim,3.0833,-59.95,85.96,64,47,2.98,BR,2022-07-17 14:37:52,scattered clouds
134,Airai,-8.9266,125.4092,54.5,91,49,2.84,TL,2022-07-17 14:36:22,scattered clouds
135,Cananea,30.95,-110.3,74.14,52,96,2.93,MX,2022-07-17 14:33:44,overcast clouds
136,Castro,-24.7911,-50.0119,65.82,68,100,3.11,BR,2022-07-17 14:35:05,overcast clouds
137,Betioky,-23.7167,44.3833,75.36,41,97,13.98,MG,2022-07-17 14:37:53,overcast clouds
138,Provideniya,64.3833,-173.3,49.66,98,100,6.08,RU,2022-07-17 14:37:53,overcast clouds
139,Pemangkat,1.1667,108.9667,79.83,76,100,7.72,ID,2022-07-17 14:37:53,overcast clouds
140,Skelleftea,64.7507,20.9528,59.36,63,100,10.36,SE,2022-07-17 14:37:54,overcast clouds
141,Tiksi,71.6872,128.8694,36.23,81,99,2.64,RU,2022-07-17 14:37:06,overcast clouds
142,Rypefjord,70.6333,23.6667,48.67,100,75,14.97,NO,2022-07-17 14:38:54,broken clouds
143,Ugoofaaru,5.6667,73.0,81.61,80,100,14.07,MV,2022-07-17 14:38:55,overcast clouds
144,Ponta Do Sol,32.6667,-17.1,79.0,77,34,8.39,PT,2022-07-17 14:35:22,scattered clouds
145,Necochea,-38.5473,-58.7368,50.29,42,4,20.8,AR,2022-07-17 14:38:55,light rain
146,Kahului,20.8947,-156.47,77.02,80,0,20.71,US,2022-07-17 14:38:23,clear sky
147,Machacamarca,-18.1667,-67.0333,48.65,40,34,5.84,BO,2022-07-17 14:38:55,scattered clouds
148,Tura,25.5198,90.2201,77.76,87,75,4.81,IN,2022-07-17 14:38:56,broken clouds
149,San Luis,-33.295,-66.3356,54.09,24,2,18.63,AR,2022-07-17 14:38:56,clear sky
150,Santa Maria,-29.6842,-53.8069,51.1,71,100,9.22,BR,2022-07-17 14:38:56,overcast clouds
