City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carnarvon,-24.8667,113.6333,70.68,71,0,10.69,AU,2022-07-14 01:37:49
1,Gazalkent,41.5581,69.7708,80.02,29,0,6.44,UZ,2022-07-14 01:37:50
2,Pangnirtung,66.1451,-65.7125,45.97,85,84,2.71,CA,2022-07-14 01:35:46
3,Deputatskiy,69.3,139.9,51.62,66,100,6.51,RU,2022-07-14 01:33:19
4,Dikson,73.5069,80.5464,44.55,70,99,5.21,RU,2022-07-14 01:37:50
5,Nikolskoye,59.7035,30.7861,62.8,85,34,4.97,RU,2022-07-14 01:37:50
6,Lompoc,34.6391,-120.4579,78.01,76,0,13.8,US,2022-07-14 01:37:51
7,Mar Del Plata,-38.0023,-57.5575,50.09,82,0,14.0,AR,2022-07-14 01:37:51
8,Taksimo,56.3444,114.8794,72.57,54,47,3.4,RU,2022-07-14 01:37:51
9,Aswan,24.0934,32.907,85.3,20,0,5.75,EG,2022-07-14 01:37:52
10,Borsa,47.6553,24.6633,57.49,80,78,0.72,RO,2022-07-14 01:37:52
11,Dawlatabad,36.4141,64.9053,80.62,23,0,3.76,AF,2022-07-14 01:37:52
12,Bluff,-46.6,168.3333,47.8,71,82,13.73,NZ,2022-07-14 01:37:53
13,Bredasdorp,-34.5322,20.0403,58.1,79,76,16.24,ZA,2022-07-14 01:37:53
14,Nizhnevartovsk,60.9344,76.5531,60.82,88,0,4.47,RU,2022-07-14 01:37:53
15,Albany,42.6001,-73.9662,68.86,87,100,2.93,US,2022-07-14 01:35:34
16,Mataura,-46.1927,168.8643,47.48,90,41,5.12,NZ,2022-07-14 01:37:54
17,Gazli,40.1333,63.45,85.28,23,0,16.84,UZ,2022-07-14 01:37:54
18,Saint-Philippe,-21.3585,55.7679,65.79,80,58,12.03,RE,2022-07-14 01:37:54
19,Rikitea,-23.1203,-134.9692,69.98,81,89,8.01,PF,2022-07-14 01:34:45
20,Kapaa,22.0752,-159.319,85.98,73,20,17.27,US,2022-07-14 01:33:22
21,Tuatapere,-46.1333,167.6833,43.75,86,90,9.06,NZ,2022-07-14 01:34:24
22,Ulaangom,49.9811,92.0667,58.42,57,100,11.97,MN,2022-07-14 01:37:55
23,Touho,-20.7833,165.2333,74.26,67,67,8.99,NC,2022-07-14 01:37:55
